Used 2019 Subaru, Crosstrek 2.0i Limited CVT, $19,495, Great Price, 67,222 miles, 
Used 2019 Subaru, Outback 2.5i Touring, $23,890, Fair Price, 39,728 miles, 
Used 2019 Subaru, Legacy 2.5i Limited, $19,998, Fair Price, 56,980 miles, 
Used 2019 Subaru, Impreza 2.0i Sport 5-door CVT, $15,950, Fair Price, 99,343 miles, 
Used 2019 Subaru, Forester 2.5i Limited, $23,632, High Price, 50,453 miles, 
Used 2019 Subaru, Legacy 2.5i, $19,900, High Price, 45,562 miles, 
Used 2019 Subaru, Outback 3.6R Touring, $23,690, Great Price, 27,954 miles, 
Used 2019 Subaru, Outback 2.5i Touring, $24,998, Fair Price, 46,264 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $22,718, Fair Price, 29,025 miles, 
Used 2019 Subaru, Forester 2.5i Premium, $19,997, Fair Price, 74,394 miles, 
Used 2019 Subaru, WRX STI Manual, $30,999, Great Price, 34,336 miles, 
Used 2019 Subaru, Legacy 2.5i, $19,000, High Price, 41,902 miles, 
Used 2019 Subaru, Forester 2.5i, $18,355, Fair Price, 70,387 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $14,499, Fair Price, 105,247 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $17,988, Fair Price, 78,467 miles, 
Used 2019 Subaru, Forester 2.5i Limited, $15,641, Great Price, 89,002 miles, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, $19,680, Fair Price, 56,659 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $19,455, Excellent Price, 30,610 miles, 
Used 2019 Subaru, Forester 2.5i Touring, $17,999, Fair Price, 96,006 miles, 
Used 2019 Subaru, Legacy 2.5i, $22,595, Fair Price, 35,396 miles, 
Used 2019 Subaru, Forester 2.5i Touring, $16,687, High Price, 109,511 miles, 
Used 2019 Subaru, Ascent Premium 8-Passenger, $22,790, Great Price, 36,475 miles, 
Used 2019 Subaru, Ascent Limited 7-Passenger, $19,998, Great Price, 94,492 miles, 
Used 2019 Subaru, Outback 2.5i Premium, $15,000, Excellent Price, 85,790 miles, 
Used 2019 Subaru, Outback 2.5i Limited, $21,998, Fair Price, 63,374 miles, 
