Used 2023 Mazda, CX-9 Touring, $31,998, Fair Price, 13,051 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $31,597, Fair Price, 19,969 miles, 
Used 2023 Mazda, CX-9 Touring, $26,750, Fair Price, 36,617 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $26,000, High Price, 31,750 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,998, High Price, 20,301 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $26,700, Fair Price, 12,645 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,500, Fair Price, 18,630 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,998, Fair Price, 37,129 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $25,903, Fair Price, 33,377 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $23,250, Fair Price, 76,132 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $32,988, Fair Price, 23,720 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium Plus, $26,459, Fair Price, 40,634 miles, 
Used 2023 Mazda, Mazda3 2.5 Turbo Premium Plus Sedan Automatic AWD, $26,500, Excellent Price, 15,170 miles, 
Used 2023 Mazda, CX-30 Preferred, $25,800, Fair Price, 16,854 miles, 
Used 2023 Mazda, CX-30 Turbo Premium, $26,272, Great Price, 13,107 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,500, Fair Price, 20,829 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,998, Fair Price, 37,129 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,000, Fair Price, 22,009 miles, 
Used 2023 Mazda, CX-5 2.5 Turbo, $28,193, Great Price, 35,829 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $31,597, Fair Price, 19,969 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $25,998, Fair Price, 28,027 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,676, Fair Price, 10,056 miles, 
Used 2023 Mazda, CX-5 2.5 Turbo Signature, $28,998, Great Price, 28,179 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $25,903, Fair Price, 33,377 miles, 
Used 2023 Mazda, CX-30 Select, $23,195, Fair Price, 10,610 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $27,500, Fair Price, 18,630 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $23,975, Fair Price, 62,177 miles, 
Used 2023 Mazda, Mazda3 Carbon Edition Sedan Automatic AWD, $21,531, Great Price, 58,780 miles, 
Used 2023 Mazda, MX-5 Miata RF Grand Touring Manual, $29,750, Great Price, 4,720 miles, 
Used 2023 Mazda, CX-5 2.5 Turbo, $26,598, Fair Price, 51,539 miles, 
Used 2023 Mazda, CX-30 Preferred, $25,800, Fair Price, 16,854 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,998, High Price, 20,301 miles, 
Used 2023 Mazda, CX-50 Preferred Plus, $26,000, High Price, 31,750 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $33,998, Fair Price, 18,626 miles, 
Used 2023 Mazda, CX-30 Turbo Premium, $25,000, Great Price, 21,479 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $29,000, Great Price, 36,219 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $32,637, Fair Price, 27,614 miles, 
Used 2023 Mazda, CX-9 Touring, $22,799, Fair Price, 49,371 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $25,998, Fair Price, 24,239 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $28,998, High Price, 18,117 miles, 
Used 2023 Mazda, CX-30 Turbo Premium Plus, $28,000, Fair Price, 19,947 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $23,499, Fair Price, 35,653 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $26,998, Fair Price, 20,890 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $24,000, Fair Price, 24,503 miles, 
Used 2023 Mazda, CX-30 Carbon Edition, $25,977, High Price, 29,965 miles, 
Used 2023 Mazda, CX-9 Grand Touring, $31,987, Fair Price, 30,157 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $25,998, Fair Price, 31,823 miles, 
