Used 2024 Hyundai, Santa Fe Calligraphy AWD, $34,995, High Price, 5,463 miles, 
Used 2024 Hyundai, Elantra SE IVT, $20,899, Fair Price, 7,343 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $21,888, High Price, 11,804 miles, 
Used 2024 Hyundai, Tucson SE AWD Limited Availability, $24,059, Fair Price, 25,392 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $21,995, Fair Price, 6,591 miles, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, $28,897, High Price, 2,199 miles, 
Used 2024 Hyundai, Palisade Calligraphy AWD, $38,995, Great Price, 24,220 miles, 
Used 2024 Hyundai, IONIQ 5 SEL RWD, $23,995, High Price, 787 miles, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, $34,444, High Price, 2,147 miles, 
Used 2024 Hyundai, Kona Limited AWD, $25,291, Great Price, 22,483 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $22,888, High Price, 3,161 miles, 
Used 2024 Hyundai, Santa Cruz XRT AWD, $30,690, High Price, 5,445 miles, 
Used 2024 Hyundai, Sonata SEL FWD, $23,362, Fair Price, 10,550 miles, 
Used 2024 Hyundai, Tucson XRT AWD, $27,993, Fair Price, 7,259 miles, 
Used 2024 Hyundai, Santa Fe SEL AWD, $25,299, Fair Price, 19,485 miles, 
Used 2024 Hyundai, Palisade SEL AWD, $41,999, High Price, 5,480 miles, 
Used 2024 Hyundai, Palisade Calligraphy AWD, $47,899, Fair Price, 10,754 miles, 
Used 2024 Hyundai, Santa Fe XRT AWD, $29,995, High Price, 4,114 miles, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, $33,811, Fair Price, 18,396 miles, 
Used 2024 Hyundai, Kona SEL AWD, $22,972, Fair Price, 7,974 miles, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, $31,200, High Price, 32,689 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $34,839, High Price, 14,689 miles, 
Used 2024 Hyundai, Tucson SE AWD Limited Availability, $26,574, High Price, 14,239 miles, 
Used 2024 Hyundai, IONIQ 5 Limited AWD, $48,409, High Price, 30 miles, 
