Used 2018 BMW, X5 xDrive35i AWD, $21,250, Excellent Price, 70,001 miles, 
Used 2018 BMW, Plug-In Hybrid 530e iPerformance RWD, $21,995, High Price, 56,544 miles, 
Used 2018 BMW, 340i xDrive Sedan, $26,481, High Price, 70,927 miles, 
Used 2018 BMW, 430i xDrive Gran Coupe, $12,995, Excellent Price, 106,856 miles, 
Used 2018 BMW, 330i Sedan RWD, $14,777, Fair Price, 70,204 miles, 
Used 2018 BMW, Plug-In Hybrid 530e iPerformance RWD, $17,811, High Price, 86,646 miles, 
Used 2018 BMW, 750i xDrive, $28,995, High Price, 73,087 miles, 
Used 2018 BMW, 330i Sedan RWD, $14,777, Fair Price, 70,204 miles, 
Used 2018 BMW, 330i xDrive Sedan, $19,777, High Price, 106,795 miles, 
Used 2018 BMW, X1 xDrive28i AWD, $16,995, High Price, 45,612 miles, 
Used 2018 BMW, M550i xDrive, $27,805, High Price, 83,017 miles, 
Used 2018 BMW, 540i xDrive, $23,505, High Price, 99,238 miles, 
Used 2018 BMW, 330i xDrive Sedan, $22,995, High Price, 46,733 miles, 
Used 2018 BMW, X5 xDrive35i AWD, $19,445, High Price, 109,004 miles, 
Used 2018 BMW, 320i Sedan RWD, $16,990, High Price, 104,217 miles, 
Used 2018 BMW, 320i Sedan RWD, $17,995, High Price, 47,000 miles, 
Used 2018 BMW, 750i xDrive, $22,995, High Price, 103,566 miles, 
