Year/Make, Model, Price, Rating, Mileage
Used 2022 Hyundai, Tucson SEL AWD, 22495, Fair Price, 34159
Used 2022 Hyundai, Palisade SEL AWD, 23504, Excellent Price, 73760
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, 24995, Excellent Price, 31605
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, 26998, Great Price, 41629
Used 2022 Hyundai, Tucson SEL AWD, 22292, Fair Price, 13599
Used 2022 Hyundai, Sonata SE, 17877, Great Price, 24417
Used 2022 Hyundai, Sonata SEL, 18995, Fair Price, 25871
Used 2022 Hyundai, Sonata Limited, 21633, Excellent Price, 26965
Used 2022 Hyundai, Kona SE AWD Automatic, 17444, Fair Price, 39484
Used 2022 Hyundai, Sonata SEL Plus, 20170, Fair Price, 41196
Used 2022 Hyundai, Elantra N Manual, 25995, Fair Price, 35188
Used 2022 Hyundai, Palisade SEL AWD, 22791, Excellent Price, 103973
Used 2022 Hyundai, Tucson Limited AWD, 23994, Excellent Price, 30959
Used 2022 Hyundai, Tucson Limited AWD, 25444, High Price, 30666
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 16218, Great Price, 36503
Used 2022 Hyundai, Tucson SEL AWD, 22506, Great Price, 23949
Used 2022 Hyundai, Venue SEL IVT, 14995, Excellent Price, 32886
Used 2022 Hyundai, Tucson SEL AWD, 24259, Fair Price, 23128
Used 2022 Hyundai, Sonata SEL, 21998, Great Price, 33761
Used 2022 Hyundai, Santa Fe Calligraphy AWD, 25290, Excellent Price, 40853
Used 2022 Hyundai, Kona SEL FWD Automatic, 17288, Great Price, 39772
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 16783, Fair Price, 51299
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 18888, Great Price, 10963
Used 2022 Hyundai, Tucson SEL AWD, 25389, High Price, 14910
Used 2022 Hyundai, Kona SEL AWD Automatic, 16995, Excellent Price, 40725
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 16490, Excellent Price, 43117
Used 2022 Hyundai, Tucson SEL AWD, 25888, High Price, 15172
Used 2022 Hyundai, Elantra SEL IVT, 16500, Excellent Price, 37724
Used 2022 Hyundai, Tucson XRT AWD, 21990, Fair Price, 46730
Used 2022 Hyundai, Elantra N DCT, 27998, Fair Price, 39899
Used 2022 Hyundai, Tucson Limited AWD, 28998, High Price, 22075
