Used 2022 Dodge, Charger SXT RWD, $20,800, High Price, 59,690 miles, 
Used 2022 Dodge, Durango R/T Plus AWD, $39,888, High Price, 36,734 miles, 
Used 2022 Dodge, Challenger R/T Scat Pack Widebody RWD, $54,995, Fair Price, 3,802 miles, 
Used 2022 Dodge, Durango R/T AWD, $32,850, Fair Price, 41,374 miles, 
Used 2022 Dodge, Challenger GT AWD, $26,500, High Price, 46,336 miles, 
Used 2022 Dodge, Durango R/T AWD, $34,499, High Price, 67,274 miles, 
Used 2022 Dodge, Charger SXT RWD, $24,476, High Price, 57,891 miles, 
Used 2022 Dodge, Durango SXT AWD, $30,804, Fair Price, 34,651 miles, 
Used 2022 Dodge, Charger GT RWD, $18,899, Fair Price, 56,403 miles, 
Used 2022 Dodge, Durango GT AWD, $31,499, High Price, 22,225 miles, 
Used 2022 Dodge, Challenger R/T Scat Pack RWD, $44,611, High Price, 24,415 miles, 
Used 2022 Dodge, Durango R/T AWD, $37,995, High Price, 36,480 miles, 
Used 2022 Dodge, Charger SXT RWD, $24,477, High Price, 60,010 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $33,898, Fair Price, 46,772 miles, 
Used 2022 Dodge, Challenger GT RWD, $21,934, Fair Price, 42,837 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $36,895, Fair Price, 32,567 miles, 
Used 2022 Dodge, Challenger R/T Scat Pack RWD, $44,996, High Price, 21,321 miles, 
Used 2022 Dodge, Charger Scat Pack Widebody RWD, $56,888, High Price, 33,325 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $36,450, High Price, 49,302 miles, 
Used 2022 Dodge, Durango R/T AWD, $35,688, High Price, 57,189 miles, 
Used 2022 Dodge, Charger SXT RWD, $16,389, Fair Price, 62,856 miles, 
Used 2022 Dodge, Challenger R/T Scat Pack RWD, $48,675, High Price, 8,476 miles, 
Used 2022 Dodge, Durango SRT 392 AWD, $50,488, Fair Price, 30,577 miles, 
Used 2022 Dodge, Challenger GT AWD, $27,985, High Price, 41,678 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,531, High Price, 48,934 miles, 
Used 2022 Dodge, Charger SXT RWD, $21,490, Fair Price, 52,814 miles, 
Used 2022 Dodge, Charger GT AWD, $39,976, High Price, 19,380 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $31,690, High Price, 21,501 miles, 
Used 2022 Dodge, Charger Scat Pack RWD, $43,857, High Price, 30,560 miles, 
Used 2022 Dodge, Durango SXT AWD, $27,594, High Price, 67,302 miles, 
Used 2022 Dodge, Charger SRT Hellcat Widebody RWD, $69,728, High Price, 18,289 miles, 
Used 2022 Dodge, Durango R/T Plus AWD, $36,704, Fair Price, 48,630 miles, 
Used 2022 Dodge, Challenger GT AWD, $31,285, High Price, 28,936 miles, 
Used 2022 Dodge, Charger SXT RWD, $20,375, High Price, 70,322 miles, 
Used 2022 Dodge, Durango R/T AWD, $38,999, Fair Price, 31,876 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $30,995, High Price, 41,752 miles, 
Used 2022 Dodge, Charger SXT RWD, $19,999, High Price, 50,219 miles, 
Used 2022 Dodge, Charger SRT Hellcat Widebody RWD, $66,926, High Price, 5,359 miles, 
Used 2022 Dodge, Durango R/T AWD, $30,995, Great Price, 54,470 miles, 
Used 2022 Dodge, Charger SXT RWD, $16,866, High Price, 59,998 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $38,995, High Price, 23,238 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $33,600, Fair Price, 34,345 miles, 
Used 2022 Dodge, Durango R/T AWD, $40,888, High Price, 19,753 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $30,566, High Price, 65,878 miles, 
Used 2022 Dodge, Durango GT Plus AWD, $32,265, High Price, 69,660 miles, 
