Used 2022 Kia, Seltos EX 2.0 AWD, $20,003, Great Price, 62,857 miles, 
Used 2022 Kia, Sorento SX AWD, $31,764, Great Price, 11,090 miles, 
Used 2022 Kia, Telluride SX AWD, $40,598, High Price, 24,943 miles, 
Used 2022 Kia, Soul Turbo DCT, $17,514, Excellent Price, 29,416 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $30,998, Fair Price, 27,226 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,000, Great Price, 22,730 miles, 
Used 2022 Kia, Sportage LX FWD, $20,998, High Price, 34,250 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $27,459, Great Price, 42,080 miles, 
Used 2022 Kia, Sportage LX AWD, $18,844, Fair Price, 44,609 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,998, Great Price, 57,249 miles, 
Used 2022 Kia, Forte GT-Line IVT, $16,999, Great Price, 44,152 miles, 
Used 2022 Kia, Telluride EX AWD, $32,777, Great Price, 42,694 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $28,899, Great Price, 27,477 miles, 
Used 2022 Kia, Niro EV EX, $17,888, Excellent Price, 21,468 miles, 
Used 2022 Kia, Forte GT DCT, $15,960, Excellent Price, 30,803 miles, 
Used 2022 Kia, Soul LX IVT, $14,259, Fair Price, 67,186 miles, 
Used 2022 Kia, Sportage LX AWD, $19,998, Great Price, 29,575 miles, 
Used 2022 Kia, Sportage Nightfall AWD, $18,495, Great Price, 61,571 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,193, High Price, 58,385 miles, 
Used 2022 Kia, Sorento SX AWD, $29,056, Great Price, 14,874 miles, 
Used 2022 Kia, Telluride EX AWD, $32,499, Fair Price, 51,069 miles, 
Used 2022 Kia, K5 GT-Line FWD, $23,399, Great Price, 29,603 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,995, Great Price, 31,702 miles, 
Used 2022 Kia, Sportage LX FWD, $18,998, Fair Price, 46,643 miles, 
Used 2022 Kia, K5 GT-Line AWD, $24,731, Fair Price, 31,969 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,995, Great Price, 32,475 miles, 
Used 2022 Kia, Forte LXS IVT, $20,000, Fair Price, 7,040 miles, 
Used 2022 Kia, K5 GT-Line AWD, $23,498, High Price, 6,198 miles, 
Used 2022 Kia, Seltos EX 2.0 AWD, $22,127, Fair Price, 34,110 miles, 
Used 2022 Kia, K5 GT-Line AWD, $24,731, Fair Price, 31,969 miles, 
Used 2022 Kia, Soul LX IVT, $14,490, Great Price, 61,720 miles, 
Used 2022 Kia, Seltos SX 1.6T AWD, $19,999, Excellent Price, 31,894 miles, 
Used 2022 Kia, Forte GT-Line IVT, $16,500, Excellent Price, 44,428 miles, 
Used 2022 Kia, Forte LXS IVT, $16,490, Great Price, 33,176 miles, 
Used 2022 Kia, Telluride EX AWD, $30,995, Great Price, 51,572 miles, 
Used 2022 Kia, K5 LXS AWD, $20,895, Great Price, 22,769 miles, 
Used 2022 Kia, Sportage LX AWD, $20,629, Fair Price, 29,333 miles, 
Used 2022 Kia, K5 GT-Line AWD, $20,498, Great Price, 48,705 miles, 
Used 2022 Kia, Soul LX IVT, $16,950, Great Price, 39,442 miles, 
Used 2022 Kia, Soul LX IVT, $16,490, Great Price, 52,752 miles, 
Used 2022 Kia, K5 GT-Line FWD, $23,888, Fair Price, 8,251 miles, 
Used 2022 Kia, Carnival SX Prestige, $27,984, Great Price, 74,230 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,374, Great Price, 19,622 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,695, Great Price, 25,110 miles, 
Used 2022 Kia, Soul LX IVT, $16,902, Great Price, 8,767 miles, 
Used 2022 Kia, Forte GT-Line IVT, $17,495, Great Price, 58,153 miles, 
Used 2022 Kia, Forte GT Manual, $20,059, Fair Price, 30,005 miles, 
Used 2022 Kia, Seltos EX 2.0 AWD, $14,999, Great Price, 90,616 miles, 
Used 2022 Kia, K5 LXS FWD, $17,718, Excellent Price, 52,539 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $30,495, Fair Price, 29,722 miles, 
Used 2022 Kia, Sportage LX AWD, $20,491, Great Price, 26,484 miles, 
Used 2022 Kia, Carnival LXS, $28,500, Great Price, 35,390 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,998, Great Price, 57,249 miles, 
Used 2022 Kia, Soul LX IVT, $16,490, Great Price, 55,062 miles, 
Used 2022 Kia, Stinger GT-Line RWD, $19,998, Fair Price, 77,934 miles, 
Used 2022 Kia, Sorento LX FWD, $23,650, High Price, 46,376 miles, 
