Used 2024 Hyundai, IONIQ 6 SEL AWD, $30,696, Fair Price, 4,448 miles, 
Used 2024 Hyundai, Santa Cruz SEL AWD, $30,998, High Price, 6,815 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $40,795, Fair Price, 7,830 miles, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, $44,995, Fair Price, 3,355 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, $41,795, High Price, 3,008 miles, 
Used 2024 Hyundai, Tucson Limited AWD, $26,997, Fair Price, 40,136 miles, 
Used 2024 Hyundai, Palisade SEL AWD, $33,997, Great Price, 35,922 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid SEL AWD, $27,631, High Price, 37,775 miles, 
Used 2024 Hyundai, Santa Fe SEL AWD, $33,811, Fair Price, 8,291 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $23,795, High Price, 5,542 miles, 
Used 2024 Hyundai, Santa Fe Hybrid Calligraphy AWD, $47,995, High Price, 5,320 miles, 
Used 2024 Hyundai, Palisade Calligraphy AWD, $47,795, High Price, 11,035 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $27,467, Great Price, 8,450 miles, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, $43,995, Fair Price, 3,378 miles, 
Used 2024 Hyundai, Sonata SEL AWD, $27,495, Fair Price, 3,859 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, $41,795, High Price, 4,690 miles, 
Used 2024 Hyundai, Tucson Hybrid Limited AWD, $37,590, High Price, 2,105 miles, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, $34,698, Fair Price, 23,465 miles, 
Used 2024 Hyundai, Palisade Limited AWD, $47,795, High Price, 4,749 miles, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, $25,987, Fair Price, 20,286 miles, 
Used 2024 Hyundai, Tucson Hybrid Blue AWD, $30,994, High Price, 14,259 miles, 
Used 2024 Hyundai, Palisade Limited AWD, $40,290, Fair Price, 26,265 miles, 
Used 2024 Hyundai, Kona Limited AWD, $26,695, High Price, 33,958 miles, 
Used 2024 Hyundai, Elantra SEL IVT, $25,795, High Price, 3,107 miles, 
Used 2024 Hyundai, Santa Fe SEL AWD, $36,795, High Price, 3,009 miles, 
Used 2024 Hyundai, Tucson Hybrid N Line AWD, $32,042, High Price, 23,291 miles, 
Used 2024 Hyundai, Tucson XRT AWD, $30,998, High Price, 11,134 miles, 
Used 2024 Hyundai, Kona N Line AWD, $26,422, Great Price, 12,319 miles, 
Used 2024 Hyundai, Kona N Line AWD, $26,422, Great Price, 12,319 miles, 
Used 2024 Hyundai, Tucson XRT AWD, $30,998, High Price, 11,134 miles, 
Used 2024 Hyundai, Sonata Hybrid SEL FWD, $25,252, High Price, 58,446 miles, 
Used 2024 Hyundai, Venue Limited IVT, $23,495, High Price, 9,142 miles, 
Used 2024 Hyundai, Tucson Hybrid N Line AWD, $32,042, High Price, 23,291 miles, 
Used 2024 Hyundai, Sonata SEL FWD, $23,628, High Price, 37,693 miles, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, $47,371, High Price, 3,052 miles, 
Used 2024 Hyundai, Kona Limited AWD, $31,995, High Price, 4,074 miles, 
Used 2024 Hyundai, Sonata Hybrid SEL FWD, $30,180, High Price, 3,604 miles, 
Used 2024 Hyundai, Santa Fe Hybrid Limited AWD, $45,000, High Price, 4,991 miles, 
Used 2024 Hyundai, Santa Cruz Limited AWD, $40,442, High Price, 3,007 miles, 
Used 2024 Hyundai, Kona Limited AWD, $33,475, High Price, 3,544 miles, 
Used 2024 Hyundai, Santa Fe Limited AWD, $44,327, High Price, 4,891 miles, 
Used 2024 Hyundai, Kona N Line AWD, $28,491, Fair Price, 7,205 miles, 
