Used 2023 Kia, Sportage LX AWD, $22,059, Great Price, 27,160 miles, 
Used 2023 Kia, Niro Hybrid EX Touring, $19,126, Excellent Price, 84,686 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,899, Great Price, 31,878 miles, 
Used 2023 Kia, Sportage SX AWD, $28,762, Great Price, 14,065 miles, 
Used 2023 Kia, Sportage X-Line AWD, $28,354, High Price, 29,561 miles, 
Used 2023 Kia, Soul EX IVT, $23,998, High Price, 11,412 miles, 
Used 2023 Kia, Sportage X-Line AWD, $28,296, Fair Price, 22,618 miles, 
Used 2023 Kia, Soul LX IVT, $18,888, High Price, 21,105 miles, 
Used 2023 Kia, Sportage Hybrid EX AWD, $29,998, High Price, 19,118 miles, 
Used 2023 Kia, Sportage X-Pro Prestige AWD, $30,495, Fair Price, 36,591 miles, 
Used 2023 Kia, Carnival EX, $35,631, Great Price, 7,300 miles, 
Used 2023 Kia, Forte GT-Line IVT, $17,999, Fair Price, 23,007 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,999, Fair Price, 35,528 miles, 
Used 2023 Kia, Sportage SX-Prestige FWD, $31,998, High Price, 18,400 miles, 
Used 2023 Kia, Sportage Hybrid LX AWD, $27,998, Fair Price, 23,609 miles, 
Used 2023 Kia, Sportage X-Line AWD, $28,760, High Price, 23,213 miles, 
Used 2023 Kia, Stinger GT-Line AWD, $19,890, Excellent Price, 70,244 miles, 
Used 2023 Kia, Stinger GT-Line RWD, $25,299, Fair Price, 33,622 miles, 
Used 2023 Kia, Forte GT-Line IVT, $19,618, Great Price, 32,901 miles, 
Used 2023 Kia, Forte GT-Line IVT, $18,888, Excellent Price, 27,735 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,999, Great Price, 20,615 miles, 
Used 2023 Kia, Sportage SX-Prestige AWD, $29,845, High Price, 39,311 miles, 
Used 2023 Kia, Sportage X-Line AWD, $26,959, Great Price, 23,641 miles, 
Used 2023 Kia, Soul GT-Line IVT, $24,594, High Price, 4,357 miles, 
Used 2023 Kia, Forte GT-Line IVT, $15,279, Great Price, 57,246 miles, 
Used 2023 Kia, Telluride EX FWD, $36,880, Great Price, 10,095 miles, 
Used 2023 Kia, Soul EX IVT, $24,998, High Price, 2,664 miles, 
