Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $27,188, Fair Price, 5,186 miles, 
Used 2022 Subaru, Impreza 5-door CVT, $19,421, Fair Price, 21,339 miles, 
Used 2022 Subaru, Impreza Premium Sedan CVT, $21,453, Great Price, 21,683 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $27,995, Fair Price, 36,045 miles, 
Used 2022 Subaru, Forester Limited, $27,499, Fair Price, 27,692 miles, 
Used 2022 Subaru, WRX Limited Manual, $28,490, Excellent Price, 17,139 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,995, Fair Price, 34,046 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $24,531, Excellent Price, 41,327 miles, 
Used 2022 Subaru, Forester Wilderness, $27,790, Great Price, 32,404 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $25,613, Great Price, 57,081 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $26,191, Great Price, 52,248 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $25,499, Fair Price, 16,625 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $24,245, Great Price, 37,898 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $24,143, Fair Price, 23,382 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $24,006, Fair Price, 24,125 miles, 
Used 2022 Subaru, Forester Wilderness, $27,995, Great Price, 35,164 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium Manual, $25,199, Great Price, 21,844 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $22,998, Fair Price, 26,219 miles, 
Used 2022 Subaru, Outback 2.5i Premium, $27,243, Great Price, 9,863 miles, 
Used 2022 Subaru, WRX Premium Manual, $26,995, Great Price, 31,229 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $22,000, Great Price, 26,608 miles, 
Used 2022 Subaru, Legacy 2.5i Limited, $25,550, Fair Price, 25,835 miles, 
Used 2022 Subaru, Forester Premium, $25,495, Fair Price, 18,482 miles, 
Used 2022 Subaru, Outback 2.5i Touring, $25,495, Fair Price, 49,596 miles, 
Used 2022 Subaru, WRX Premium Manual, $26,304, Great Price, 47,983 miles, 
Used 2022 Subaru, Forester Limited, $28,998, Fair Price, 34,474 miles, 
Used 2022 Subaru, Forester Wilderness, $24,998, Great Price, 46,003 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium CVT, $24,000, Fair Price, 30,327 miles, 
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, $26,558, Fair Price, 15,727 miles, 
Used 2022 Subaru, Ascent Premium 7-Passenger, $28,928, Great Price, 29,301 miles, 
Used 2022 Subaru, Outback 2.5i Limited, $25,543, Great Price, 41,952 miles, 
Used 2022 Subaru, Ascent Premium 7-Passenger, $27,571, Great Price, 35,753 miles, 
Used 2022 Subaru, Forester Premium, $28,000, Fair Price, 20,799 miles, 
Used 2022 Subaru, Forester Sport, $27,928, Fair Price, 16,457 miles, 
Used 2022 Subaru, Impreza 5-door CVT, $17,824, Fair Price, 39,026 miles, 
Used 2022 Subaru, Crosstrek 2.0i Premium Manual, $24,999, Great Price, 26,240 miles, 
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, $27,000, Fair Price, 32,607 miles, 
Used 2022 Subaru, Impreza Premium 5-door CVT, $22,999, Fair Price, 16,963 miles, 
Used 2022 Subaru, Crosstrek 2.0i CVT, $22,900, Fair Price, 12,716 miles, 
Used 2022 Subaru, BRZ Limited Manual, $28,999, Fair Price, 14,079 miles, 
