Used 2020 Hyundai, Tucson SE AWD, $15,894, Excellent Price, 68,701 miles, 
Used 2020 Hyundai, Tucson Value AWD, $13,991, Excellent Price, 87,272 miles, 
Used 2020 Hyundai, Tucson SE AWD, $13,500, Fair Price, 109,360 miles, 
Used 2020 Hyundai, Accent SE Automatic, $13,995, High Price, 66,194 miles, 
Used 2020 Hyundai, Tucson SEL AWD, $18,495, Great Price, 50,494 miles, 
Used 2020 Hyundai, Sonata SE, $15,595, Great Price, 59,556 miles, 
Used 2020 Hyundai, Palisade Limited AWD, $21,488, Excellent Price, 112,560 miles, 
Used 2020 Hyundai, Tucson SE AWD, $14,137, Great Price, 96,060 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.0T AWD, $24,444, Excellent Price, 23,751 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $22,995, Great Price, 39,494 miles, 
Used 2020 Hyundai, Tucson Sport AWD, $13,999, Excellent Price, 102,295 miles, 
Used 2020 Hyundai, Elantra Value Edition IVT (SULEV), $13,959, High Price, 81,744 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $17,745, Excellent Price, 56,127 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $18,981, Great Price, 98,976 miles, 
Used 2020 Hyundai, Elantra SEL 2.0L IVT, $11,994, Excellent Price, 58,478 miles, 
Used 2020 Hyundai, Elantra SEL 2.0L IVT, $10,995, Excellent Price, 77,859 miles, 
Used 2020 Hyundai, Elantra SE IVT (SULEV), $10,905, Excellent Price, 84,518 miles, 
Used 2020 Hyundai, Santa Fe Limited 2.0T AWD, $22,995, Great Price, 39,494 miles, 
Used 2020 Hyundai, Elantra SE IVT (SULEV), $12,495, Excellent Price, 18,880 miles, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, $17,745, Excellent Price, 56,127 miles, 
Used 2020 Hyundai, Elantra SEL IVT (SULEV), $13,999, High Price, 67,289 miles, 
Used 2020 Hyundai, Venue SEL IVT, $11,499, Great Price, 86,157 miles, 
Used 2020 Hyundai, Palisade SEL AWD, $18,999, Fair Price, 112,400 miles, 
Used 2020 Hyundai, Veloster N Manual, $21,127, Fair Price, 45,032 miles, 
Used 2020 Hyundai, Tucson Value AWD, $18,998, Fair Price, 35,014 miles, 
Used 2020 Hyundai, Palisade SEL AWD, $21,326, Fair Price, 80,526 miles, 
Used 2020 Hyundai, Elantra Value Edition IVT (SULEV), $13,959, High Price, 81,744 miles, 
Used 2020 Hyundai, Sonata Limited, $16,995, High Price, 77,477 miles, 
Used 2020 Hyundai, Elantra SE 2.0L IVT, $13,900, High Price, 65,495 miles, 
