Used 2023 Hyundai, Elantra N Line DCT, $21,497, Great Price, 30,069 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,492, Fair Price, 28,150 miles, 
Used 2023 Hyundai, Palisade Limited AWD, $34,987, Excellent Price, 44,009 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $19,995, Great Price, 29,519 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $24,998, Great Price, 29,287 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $22,495, Great Price, 10,918 miles, 
Used 2023 Hyundai, Elantra SE IVT, $19,998, Fair Price, 11,123 miles, 
Used 2023 Hyundai, Tucson Limited AWD, $25,995, Great Price, 46,047 miles, 
Used 2023 Hyundai, Kona SEL FWD Automatic, $17,792, Great Price, 46,358 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $21,083, Fair Price, 19,821 miles, 
Used 2023 Hyundai, Tucson SEL FWD, $21,900, Excellent Price, 5,424 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $21,998, Fair Price, 13,260 miles, 
Used 2023 Hyundai, Santa Fe Calligraphy AWD, $31,990, Great Price, 20,541 miles, 
Used 2023 Hyundai, Santa Fe Limited FWD, $22,190, Great Price, 60,954 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $19,000, Fair Price, 75,637 miles, 
Used 2023 Hyundai, Sonata SEL Plus 1.6T, $21,995, Great Price, 14,851 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $19,990, Great Price, 29,657 miles, 
Used 2023 Hyundai, Kona SE AWD Automatic, $20,000, Great Price, 19,467 miles, 
Used 2023 Hyundai, Kona SEL AWD Automatic, $21,318, Fair Price, 10,681 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,995, Fair Price, 20,007 miles, 
Used 2023 Hyundai, Venue SEL IVT, $17,990, Great Price, 17,168 miles, 
Used 2023 Hyundai, Palisade Calligraphy AWD, $44,998, Fair Price, 12,546 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $20,990, Great Price, 16,175 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $19,998, Fair Price, 42,992 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,535, Great Price, 32,063 miles, 
Used 2023 Hyundai, Santa Cruz Limited AWD, $24,999, Excellent Price, 38,615 miles, 
Used 2023 Hyundai, Sonata Hybrid Limited, $26,995, Excellent Price, 12,633 miles, 
Used 2023 Hyundai, Palisade SEL AWD, $31,500, Fair Price, 42,335 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $23,390, Fair Price, 31,023 miles, 
Used 2023 Hyundai, Elantra N Line DCT, $22,499, Fair Price, 29,449 miles, 
Used 2023 Hyundai, Kona Electric SEL, $22,688, Excellent Price, 20,885 miles, 
Used 2023 Hyundai, Palisade SEL AWD, $32,995, Great Price, 41,090 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $22,786, Fair Price, 40,281 miles, 
Used 2023 Hyundai, Santa Fe Limited AWD, $27,595, Excellent Price, 23,833 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $22,998, Fair Price, 9,200 miles, 
Used 2023 Hyundai, Venue Limited IVT, $16,991, Excellent Price, 47,806 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,626, Excellent Price, 22,825 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $21,390, Great Price, 54,381 miles, 
Used 2023 Hyundai, Elantra N Line DCT, $22,499, Fair Price, 29,449 miles, 
Used 2023 Hyundai, Sonata Hybrid Limited, $21,980, Excellent Price, 45,372 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $22,990, Great Price, 28,738 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $23,998, High Price, 29,566 miles, 
Used 2023 Hyundai, Sonata SEL Plus 1.6T, $21,995, Great Price, 32,478 miles, 
Used 2023 Hyundai, Elantra N Line DCT, $21,497, Great Price, 30,069 miles, 
Used 2023 Hyundai, Tucson Limited AWD, $25,995, Great Price, 46,047 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $25,569, Great Price, 14,351 miles, 
Used 2023 Hyundai, Kona SEL FWD Automatic, $17,792, Great Price, 46,358 miles, 
Used 2023 Hyundai, Sonata SEL 2.5L, $22,295, High Price, 20,009 miles, 
Used 2023 Hyundai, Palisade XRT AWD, $35,998, Fair Price, 45,388 miles, 
Used 2023 Hyundai, Santa Cruz Limited AWD, $30,559, Fair Price, 29,062 miles, 
Used 2023 Hyundai, Kona N Line AWD DCT, $23,516, High Price, 17,200 miles, 
Used 2023 Hyundai, Tucson Hybrid Limited AWD, $24,888, Great Price, 60,074 miles, 
Used 2023 Hyundai, Tucson SEL AWD, $23,679, High Price, 24,883 miles, 
Used 2023 Hyundai, Tucson Hybrid SEL Convenience AWD, $29,998, High Price, 29,084 miles, 
Used 2023 Hyundai, Sonata Limited, $27,121, Great Price, 7,486 miles, 
Used 2023 Hyundai, Tucson Limited AWD, $25,759, High Price, 56,085 miles, 
Used 2023 Hyundai, Santa Fe SE AWD, $18,785, High Price, 90,202 miles, 
Used 2023 Hyundai, Venue SEL IVT, $17,990, Great Price, 17,168 miles, 
Used 2023 Hyundai, Sonata Hybrid SEL, $19,999, Excellent Price, 16,655 miles, 
Used 2023 Hyundai, Elantra Limited IVT, $19,477, Great Price, 30,200 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $20,500, High Price, 12,283 miles, 
Used 2023 Hyundai, Palisade SEL AWD, $35,550, Fair Price, 22,972 miles, 
Used 2023 Hyundai, Santa Fe SEL AWD, $23,390, Fair Price, 31,023 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,748, Excellent Price, 15,689 miles, 
Used 2023 Hyundai, Venue SEL IVT, $20,277, High Price, 9,836 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,888, Great Price, 21,021 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $19,699, Great Price, 7,629 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $17,992, Excellent Price, 26,762 miles, 
Used 2023 Hyundai, Kona Limited AWD DCT, $23,769, Fair Price, 11,833 miles, 
Used 2023 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $24,499, Excellent Price, 43,726 miles, 
Used 2023 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $26,990, Great Price, 28,392 miles, 
Used 2023 Hyundai, Elantra SEL IVT, $18,999, High Price, 38,267 miles, 
