Used 2018 Toyota, Tacoma TRD Sport Double Cab 5' Bed V6 4WD Manual, $29,993, Fair Price, 75,317 miles, 
Used 2018 Toyota, Tundra SR5 Double Cab 8.1' Bed 5.7L V8 4WD, $24,999, High Price, 155,226 miles, 
Used 2018 Toyota, RAV4 LE AWD, $15,995, Excellent Price, 86,922 miles, 
Used 2018 Toyota, Corolla LE CVT, $14,995, High Price, 107,781 miles, 
Used 2018 Toyota, Highlander XLE V6 AWD, $24,190, Great Price, 75,408 miles, 
Used 2018 Toyota, RAV4 XLE FWD, $14,999, High Price, 120,068 miles, 
Used 2018 Toyota, Avalon XLE, $19,295, High Price, 83,340 miles, 
Used 2018 Toyota, RAV4 LE AWD, $17,332, Great Price, 86,646 miles, 
Used 2018 Toyota, RAV4 Limited AWD, $20,495, High Price, 101,268 miles, 
Used 2018 Toyota, Avalon XLE, $21,000, Fair Price, 61,233 miles, 
Used 2018 Toyota, RAV4 Hybrid XLE AWD, $18,750, High Price, 94,574 miles, 
Used 2018 Toyota, Camry LE I4 Automatic, $17,588, Great Price, 97,720 miles, 
Used 2018 Toyota, Sienna XLE 8-Passenger FWD, $22,885, High Price, 88,997 miles, 
Used 2018 Toyota, Highlander XLE V6 AWD, $25,492, Great Price, 44,217 miles, 
Used 2018 Toyota, Highlander XLE V6 AWD, $17,995, Great Price, 168,941 miles, 
Used 2018 Toyota, Camry XLE I4 Automatic, $16,999, High Price, 100,456 miles, 
Used 2018 Toyota, RAV4 LE AWD, $18,546, Great Price, 75,588 miles, 
Used 2018 Toyota, Tacoma SR5 Access Cab 6.1' Bed V6 4WD Automatic, $26,995, Excellent Price, 85,974 miles, 
Used 2018 Toyota, Camry LE I4 Automatic, $18,595, High Price, 86,165 miles, 
Used 2018 Toyota, Camry SE I4 Automatic, $13,925, Fair Price, 155,084 miles, 
Used 2018 Toyota, RAV4 LE AWD, $19,999, High Price, 59,862 miles, 
Used 2018 Toyota, Camry LE I4 Automatic, $16,995, High Price, 107,547 miles, 
Used 2018 Toyota, Camry XLE V6 Automatic, $26,987, Fair Price, 38,380 miles, 
Used 2018 Toyota, Tundra Limited CrewMax 5.5' Bed 5.7L 4WD, $30,999, Fair Price, 117,067 miles, 
Used 2018 Toyota, Tundra 1794 Edition CrewMax 5.5' Bed 5.7L V8 4WD Automatic, $31,182, High Price, 133,819 miles, 
Used 2018 Toyota, RAV4 XLE AWD, $16,581, High Price, 121,719 miles, 
Used 2018 Toyota, 4Runner SR5 4WD, $30,841, High Price, 86,031 miles, 
Used 2018 Toyota, Tacoma SR5 Access Cab 6.1' Bed V6 4WD Automatic, $29,995, Fair Price, 47,301 miles, 
Used 2018 Toyota, Tundra Limited CrewMax 5.5' Bed Flex Fuel 5.7L 4WD, $32,690, High Price, 125,110 miles, 
Used 2018 Toyota, Corolla SE Manual, $16,990, Fair Price, 73,811 miles, 
Used 2018 Toyota, Camry LE I4 Automatic, $13,995, Fair Price, 116,917 miles, 
Used 2018 Toyota, Tundra Platinum CrewMax 5.5' Bed 5.7L V8 4WD, $41,995, Fair Price, 47,515 miles, 
Used 2018 Toyota, Prius Prime Plus, $19,995, High Price, 88,093 miles, 
Used 2018 Toyota, Highlander LE V6 AWD, $21,712, High Price, 94,517 miles, 
Used 2018 Toyota, Tacoma SR Double Cab 5' Bed V6 4WD Automatic, $44,980, High Price, 46,764 miles, 
Used 2018 Toyota, RAV4 Limited AWD, $24,875, High Price, 59,990 miles, 
Used 2018 Toyota, Camry XLE I4 Automatic, $22,999, High Price, 38,765 miles, 
Used 2018 Toyota, Prius Prime Plus, $21,995, High Price, 52,256 miles, 
