Used 2020 Nissan, Pathfinder SL 4WD, $25,989, Great Price, 28,115 miles, 
Used 2020 Nissan, Pathfinder FWD Platinum, $25,998, Great Price, 48,323 miles, 
Used 2020 Nissan, Sentra SV CVT, $16,150, High Price, 66,482 miles, 
Used 2020 Nissan, Rogue SV AWD, $17,368, Great Price, 57,646 miles, 
Used 2020 Nissan, Murano Platinum AWD, $28,998, Fair Price, 26,327 miles, 
Used 2020 Nissan, Altima SR VC-Turbo FWD, $19,000, Excellent Price, 57,598 miles, 
Used 2020 Nissan, Altima 2.5 SL AWD, $18,514, Excellent Price, 71,073 miles, 
Used 2020 Nissan, Altima 2.5 SL AWD, $18,450, Fair Price, 20,665 miles, 
Used 2020 Nissan, Sentra SV CVT, $15,995, High Price, 56,064 miles, 
Used 2020 Nissan, Armada Platinum 4WD, $27,950, Fair Price, 79,709 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $17,275, Excellent Price, 63,685 miles, 
Used 2020 Nissan, Altima 2.5 SR AWD, $21,999, High Price, 7,104 miles, 
Used 2020 Nissan, Rogue SV AWD, $17,950, Fair Price, 66,100 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $16,990, Great Price, 80,970 miles, 
Used 2020 Nissan, NV Cargo NV2500 HD Standard Roof V6 SV, $21,950, Fair Price, 90,829 miles, 
Used 2020 Nissan, Kicks SV, $17,998, Fair Price, 45,993 miles, 
Used 2020 Nissan, Murano SL AWD, $20,489, Fair Price, 70,775 miles, 
Used 2020 Nissan, Rogue SL AWD, $10,450, Excellent Price, 105,006 miles, 
Used 2020 Nissan, Rogue SV AWD, $14,500, Excellent Price, 85,841 miles, 
Used 2020 Nissan, Altima SR VC-Turbo FWD, $19,000, Excellent Price, 57,598 miles, 
Used 2020 Nissan, Altima 2.5 SL AWD, $18,450, Fair Price, 20,665 miles, 
Used 2020 Nissan, Altima 2.5 SL AWD, $19,595, Great Price, 90,001 miles, 
Used 2020 Nissan, Pathfinder SL 4WD, $23,650, High Price, 61,830 miles, 
Used 2020 Nissan, Pathfinder FWD Platinum, $25,998, Great Price, 48,323 miles, 
Used 2020 Nissan, NV Cargo NV2500 HD High Roof V8 SV, $22,551, Fair Price, 110,827 miles, 
Used 2020 Nissan, Sentra SV CVT, $16,150, High Price, 66,482 miles, 
Used 2020 Nissan, Rogue Sport S FWD, $11,000, Excellent Price, 99,425 miles, 
Used 2020 Nissan, Sentra SV CVT, $15,995, High Price, 56,064 miles, 
Used 2020 Nissan, Altima 2.5 SR AWD, $21,999, High Price, 7,104 miles, 
Used 2020 Nissan, Sentra SV CVT, $18,998, High Price, 44,798 miles, 
Used 2020 Nissan, Rogue SV AWD, $17,368, Great Price, 57,646 miles, 
Used 2020 Nissan, Maxima S, $18,996, Excellent Price, 68,409 miles, 
Used 2020 Nissan, Armada SL RWD, $21,899, Great Price, 93,304 miles, 
Used 2020 Nissan, NV200 Compact Cargo SV, $16,900, Fair Price, 78,413 miles, 
Used 2020 Nissan, Kicks SR, $18,950, High Price, 33,264 miles, 
Used 2020 Nissan, Sentra SR CVT, $18,998, High Price, 45,745 miles, 
Used 2020 Nissan, NV200 Compact Cargo S, $15,990, High Price, 114,190 miles, 
Used 2020 Nissan, Rogue Sport S FWD, $16,490, High Price, 71,501 miles, 
Used 2020 Nissan, Rogue SL AWD, $10,450, Excellent Price, 105,006 miles, 
Used 2020 Nissan, Rogue SV AWD, $19,950, High Price, 50,933 miles, 
Used 2020 Nissan, Sentra SV CVT, $19,998, High Price, 27,839 miles, 
Used 2020 Nissan, Pathfinder S 4WD, $19,095, High Price, 106,508 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $11,500, Fair Price, 99,217 miles, 
Used 2020 Nissan, Sentra S CVT, $17,998, High Price, 54,932 miles, 
Used 2020 Nissan, Pathfinder FWD S, $18,749, High Price, 69,190 miles, 
Used 2020 Nissan, Rogue SV AWD, $17,998, Great Price, 66,386 miles, 
Used 2020 Nissan, Murano SL AWD, $23,929, High Price, 51,185 miles, 
Used 2020 Nissan, 370Z Manual, $25,580, Excellent Price, 62,173 miles, 
Used 2020 Nissan, Altima 2.5 SR FWD, $17,998, High Price, 113,825 miles, 
Used 2020 Nissan, NV200 Compact Cargo S, $15,440, High Price, 111,616 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $12,999, Fair Price, 65,475 miles, 
Used 2020 Nissan, Rogue Sport S FWD, $17,001, Fair Price, 61,864 miles, 
Used 2020 Nissan, Altima 2.5 SR AWD, $16,995, High Price, 81,319 miles, 
Used 2020 Nissan, Pathfinder SL 4WD, $22,950, High Price, 66,150 miles, 
Used 2020 Nissan, Versa SV CVT, $10,100, Fair Price, 103,455 miles, 
Used 2020 Nissan, Rogue SV AWD, $18,200, Fair Price, 57,713 miles, 
Used 2020 Nissan, Rogue Sport S FWD, $18,845, High Price, 53,190 miles, 
Used 2020 Nissan, Pathfinder SL 4WD, $25,433, High Price, 50,974 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $19,998, High Price, 39,845 miles, 
Used 2020 Nissan, Pathfinder SV 4WD, $18,500, High Price, 98,261 miles, 
Used 2020 Nissan, Pathfinder S 4WD, $20,895, High Price, 82,368 miles, 
Used 2020 Nissan, Rogue SV AWD, $21,525, High Price, 45,278 miles, 
Used 2020 Nissan, Murano S FWD, $16,995, High Price, 68,231 miles, 
Used 2020 Nissan, Rogue Sport SV AWD, $19,495, Great Price, 47,862 miles, 
Used 2020 Nissan, Maxima Platinum, $28,955, High Price, 32,839 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $14,490, Fair Price, 83,320 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $14,995, High Price, 48,697 miles, 
Used 2020 Nissan, Sentra S CVT, $17,998, Fair Price, 42,523 miles, 
Used 2020 Nissan, Rogue Sport S AWD, $17,950, Fair Price, 45,958 miles, 
Used 2020 Nissan, Maxima SR, $27,998, High Price, 46,393 miles, 
Used 2020 Nissan, Sentra S CVT, $16,511, High Price, 84,748 miles, 
Used 2020 Nissan, Pathfinder FWD SV, $18,695, High Price, 92,083 miles, 
Used 2020 Nissan, Rogue SL AWD, $22,150, Fair Price, 35,130 miles, 
Used 2020 Nissan, Rogue SL AWD, $22,191, Fair Price, 31,524 miles, 
Used 2020 Nissan, Sentra S CVT, $17,998, Fair Price, 42,818 miles, 
Used 2020 Nissan, Altima 2.5 S FWD, $14,490, Fair Price, 83,320 miles, 
Used 2020 Nissan, Maxima Platinum, $28,955, High Price, 32,839 miles, 
