Used 2019 Jeep, Cherokee Limited 4WD, $12,999, Fair Price, 108,583 miles, 
Used 2019 Jeep, Cherokee Latitude FWD, $9,999, Excellent Price, 64,334 miles, 
Used 2019 Jeep, Wrangler Unlimited Sport S, $19,995, Excellent Price, 82,222 miles, 
Used 2019 Jeep, Cherokee Latitude 4WD, $11,604, Excellent Price, 96,847 miles, 
Used 2019 Jeep, Compass Latitude 4WD, $14,499, Great Price, 68,434 miles, 
Used 2019 Jeep, Wrangler Unlimited Sahara, $24,885, Excellent Price, 77,169 miles, 
Used 2019 Jeep, Cherokee Limited 4WD, $12,735, Fair Price, 117,093 miles, 
Used 2019 Jeep, Compass Altitude 4WD, $15,990, High Price, 65,936 miles, 
Used 2019 Jeep, Grand Cherokee Summit 4WD, $26,788, Excellent Price, 70,351 miles, 
Used 2019 Jeep, Grand Cherokee Overland 4WD, $16,690, High Price, 135,373 miles, 
Used 2019 Jeep, Compass Trailhawk 4WD, $16,517, Excellent Price, 68,907 miles, 
Used 2019 Jeep, Grand Cherokee Overland 4WD, $19,999, Excellent Price, 95,570 miles, 
Used 2019 Jeep, Cherokee Overland 4WD, $13,995, Excellent Price, 93,330 miles, 
Used 2019 Jeep, Wrangler Unlimited Sahara, $27,788, High Price, 54,717 miles, 
Used 2019 Jeep, Cherokee Latitude Plus 4WD, $14,250, Excellent Price, 77,661 miles, 
Used 2019 Jeep, Compass Altitude 4WD, $13,495, Excellent Price, 84,610 miles, 
Used 2019 Jeep, Cherokee Limited 4WD, $22,998, Fair Price, 36,540 miles, 
Used 2019 Jeep, Grand Cherokee Laredo E 4WD, $15,995, Fair Price, 100,816 miles, 
Used 2019 Jeep, Grand Cherokee Limited 4WD, $16,900, Excellent Price, 105,955 miles, 
Used 2019 Jeep, Grand Cherokee Laredo E 4WD, $17,995, Fair Price, 89,630 miles, 
Used 2019 Jeep, Cherokee Limited 4WD, $19,988, High Price, 53,407 miles, 
Used 2019 Jeep, Grand Cherokee Upland 4WD, $18,900, High Price, 95,038 miles, 
Used 2019 Jeep, Grand Cherokee Overland 4WD, $13,795, Great Price, 144,898 miles, 
Used 2019 Jeep, Cherokee Limited 4WD, $16,995, Fair Price, 60,930 miles, 
Used 2019 Jeep, Cherokee Limited 4WD, $14,900, Great Price, 102,464 miles, 
Used 2019 Jeep, Cherokee Latitude Plus 4WD, $13,999, Fair Price, 67,591 miles, 
Used 2019 Jeep, Wrangler Unlimited Sahara, $30,777, Fair Price, 34,006 miles, 
